"Name","Url"
"AR.BEIN| BEIN SPORTS 5 FHD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/6816"
"AR.BEIN| BEIN SPORTS 6 FHD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/6817"
"AR.BEIN| BEIN SPORTS 7 FHD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/6818"
"|AR.BEIN| BEIN SPORTS 1 FHD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/3356"
"|AR.BEIN| BEIN SPORTS 2 FHD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/3357"
"|AR.BEIN| BEIN SPORTS 3 FHD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/3358"
"|AR.BEIN| BEIN SPORTS 4 FHD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/3572"
"|AR.BEIN| BEIN SPORTS 5 FHD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/3573"
"|AR.BEIN| BEIN SPORTS 6 FHD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/3574"
"|AR.BEIN| BEIN SPORTS 7 FHD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/3575"
"|AR.BEIN| BEIN SPORTS 1","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/281"
"|AR.BEIN| BEIN SPORTS 2","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/282"
"|AR.BEIN| BEIN SPORTS 3","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/283"
"|AR.BEIN| BEIN SPORTS 4","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/284"
"|AR.BEIN| BEIN SPORTS 5","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/351"
"|AR.BEIN| BEIN SPORTS 6","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/353"
"|AR.BEIN| BEIN SPORTS 7","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/354"
"|AR.BEIN| BEIN SPORTS 10","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/352"
"|AR.UAE| ABU DHABI SPORTS 1","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/1897"
"|AR.UAE| ABU DHABI SPORTS 2","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/1869"
"|AR.UAE| ABU DHABI SPORTS 3","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/1990"
"|AR.UAE| ABU DHABI SPORTS 4","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/2678"
"|AR.KSA| SAUDIA SPORT 1","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/2689"
"|AR.KSA| SAUDIA SPORT 2","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/8107"
"|AR.QAT| ALKASS 1","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/1843"
"|AR.QAT| ALKASS 2","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/1841"
"|AR.QAT| ALKASS 3","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/2136"
"|AR.QAT| ALKASS 4","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/2137"
"|AR.QAT| ALKASS 5","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/2138"
"(IT) SKY SPORT FOOTBALL FHD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/265011482"
"(IT) SKY SPORT UNO FHD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/265011484"
"(IT) EUROSPORT 1 FHD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/265011498"
"(IT) EUROSPORT 2 FHD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/265011499"
"(IT) DAZN 2 FHD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/265011503"
"(IT) DAZN 1 FHD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/265011504"
"|IT| DAZN 1 HD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/665042816"
"|IT| DAZN 2 HD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/665042807"
"|IT| DAZN 3 HD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/665042808"
